frogs	tadpoles	color	spots
1.1	2.036981755	red	TRUE
1.3	2.876230928	red	FALSE
1.7	3.062528078	red	TRUE
1.8	3.70717973	red	FALSE
1.9	3.955384609	red	TRUE
2.1	4.786983144	red	FALSE
2.3	4.909394928	red	TRUE
2.4	4.743632843	blue	FALSE
2.5	5.458514145	red	TRUE
2.8	5.488370318	blue	FALSE
3.1	6.463224049	red	TRUE
3.3	6.202577782	blue	FALSE
3.6	7.913877772	blue	TRUE
3.7	6.666590153	red	FALSE
3.9	7.681658311	blue	TRUE
4.1	8.103331018	blue	FALSE
4.5	8.57512263	blue	TRUE
4.8	9.629232749	blue	FALSE
5.1	9.791164822	blue	TRUE
5.3	9.574846092	blue	FALSE
